passage,label
whole tracheal organ cultures prepared from 3dayold hamsters were maintained in hepes buffered cmrl 1066 medium with 02 bovine serum albumin,1
the activity of amylase sucrase protease and lipase has been examined in wallago attu clarias batrachus and labeo rohita,1
the triglyceride tg lipase activity was determined with human or rabbit postheparin plasma and with purified bovine lipoprotein lipase,1
the eradication rate for a few strains of s pneumoniae was low 25 but it was 100 for s aureus with the same results for s pyogenes and betastreptococcus,0
the specificity of the antibodies was confirmed by the lack of cross reactivity between samples with high titres to neospora and toxoplasma antigen in a direct agglutination test and by the absence of reactivity at  or  1640 in the ifat of convalescent sera from cattle infected experimentally with toxoplasma gondii sarcocystis cruzi eimeria bovis e alabamensis cryptosporidium parvum and babesia divergens,0
experimental cholera in the rabbit ligated ileal loop toxininduced water and ion movement,0
the c3b inactivator in human and mouse serum was somewhat unstable to heating at 56 degrees c heated guinea pig serum showed the greatest ability to inactivate heterologous c3b and human serum the least,0
transposition of pseudomonas toluenedegrading genes and expression in escherichia coli,1
"anti-juvenile activity of azadirachta indica extract on the development and morphometry of filaria vector, culex quinquefasciatus (diptera: culicidae) say.",0
a familial disorder was characterized by chorea ataxia myoclonus convulsions dementia and mental retardation,1
three weeks after mixed culture the culture supernatants were again examined for reverse transcriptase activity and the cells were tested for syncytia formation by cocultivation with rat xc human kc and rsb cell lines,1
working independently three laboratories had recognized considerable similarity among certain strains of dysgonic fermentative capnophilic surface translocating gramnegative bacilli referred to as capnocytophaga bacteroides ochraceus and center for disease control biogroup df1,1
the results indicate that the et of the ferret functions as a smallscale version of its rhesus monkey and human counterparts,0
the enterococcus faecalis extracellular metalloendopeptidase ec 342430 coccolysin inactivates human endothelin at bonds involving hydrophobic amino acid residues,0
dth reactivity which was induced by immunisation with mycobacterium tuberculosis showed crossreactivity with antigens of mycobacterium bovis,0
yersinia enterocolitica was also easily identified in mixed cultures even from inocula containing three times as many other enterobacteriaceae organisms as y enterocolitica,1
nocardicin a a new monocyclic betalactam antibiotic exerts a comparatively potent antimicrobial activity against gramnegative organisms especially pseudomonas aeruginosa the indolepositive and indolenegative proteus groups except pr morganii serratia marcescens and the neisseria groups,1
comparison of two highly toxic australian snake venoms the taipan oxyuranus s scutellatus and the fierce snake parademansia microlepidotus,1
the object of this work was to study the effect of vacuum on endomyces magnusii serratia marcescens escherichia coli and mycobacterium luteum,0
blood gas analyses of hibernating hamsters and dormice,1
1hydroxy1methyl13dihydrofuro34bquinoxaline 49dioxide 3 possesses exceptional activity in vivo against escherichia coli salmonella choleraesuis and pasteurella multocida,1
these are yersinia ruckeri sp n formerly called the redmouth bacterium yersinia intermedia sp n formerly a rhamnosepositive raffinosepositive melibiosepositive biogroup within yersinia enterocolitica and yersinia frederiksenii sp n formerly a rhamnosepositive raffinosenegative melibiosenegative biogroup within y enterocolitica,1
twenty-seven of 30 (90%) rabbits inoculated intravenously with cyno-ebv-producing simian (cynomolgus) lymphocyte cell line (ts-b6) cells developed ml between 45 and 115 days after inoculation.,0
studies on human filariasis in malaysia immunoglobulin and complement levels in persons infected with brugia malayi and wuchereria bancrofti,1
"standard american type cell culture and microbial type culture collection and gene bank strains of streptococcus mutans, lactobacillus acidophilus, candida albicans, enterococcus faecalis, porphyromonas gingivalis and aggregatibacter actinomycetemcomitans were used.",0
in broth dilution tests the activity of bls786 was less than cephalothin or cefamandole against staphylococcus aureus and less than cefamandole or cefoxitin against haemophilus influenzae,1
"thirty species, 13 genera and 2 families are reported for the first time from iran, as follows: family agelenidae: agelena labyrinthica (clerck, 1757), cicurina sp., family araneidae: agalenatea redii (scopoli, 1763), araniella inconspicua (simon, 1874), araniella alpica (c.l.",0
npyli structures were also observed in the metathalamic intergeniculate leaflet and in a variety of telencephalic structures including the cerebral cortex caudate nucleus putamen lateral septal nucleus bed nucleus of the stria terminalis and amygdala,0
"morphological and molecular identification of the liver fluke opisthorchis viverrini in the first intermediate host bithynia snails and its prevalence in kampong cham province, cambodia.",0
this fungus has been injected by intratesticular route in guineapigs,0
"mba reports grants from the nci (p30ca051008, r21ca270585, p50ca101942, r01ca231291, and dod (kc170216), consultant fees from bms, merck, novartis, eisai, aveo, pfizer, werewolf, fathom, pyxis oncology, pact, elpis, x4pharma, valohealth, scholarrock, surface, takeda, roche, sab bio, exelixis, iovance, cota, idera, agenus, asher bio, astrazeneca, calithera, seagen, sanofi, oncorena, and gsk; honoraria from medscape, onclive, prime, clinical education alliance, livderm, and asco; participation on a data safety monitoring board or advisory board for novartis, bms, pfizer, simcha, genentech/roche, and melanoma research foundation; and owns stock in werewolf, pyxis oncology, and elpis, all outside the submitted work.",0
the most striking difference was that whereas t cruzi and t brucei possessed adenosine aminohydrolase activity this was not detected in l mexicana instead adenine aminohydrolase activity was found,0
the patients with scleroderma also underwent gallium citrate ga 67 scanning,0
light and electron microscopic studies on the pineal tract of rainbow trout salmo gairdneri,1
the aestivoautumnal group of birch pests includes 25 species belong to the notodontidae geometridae noctuidae and other families,1
walking speed of spiders was decreased by exposure to deltamethrin and their predation by carabid beetles was increased,0
a new in vitro assay for human thyroid stimulator using cultured thyroid cells effect of sodium chloride on adenosine 35monophosphate increase,0
data for phage selection were generated from a set of isolates of c jejuni and c coli from humans in illinois,0
ceratophyllus gallinae are the most important humanpathogenic species in our region,1
temporal trends of short- (sccps) and medium-chain chlorinated paraffins (mccps) were examined in blubber samples of 50 finless porpoises (neophocaena phocaenoides) and 25 indo-pacific humpback dolphins (sousa chinensis) collected from the south china sea between 2004 and 2014.,0
poplar extrafloral nectar is protected against plant and human pathogenic fungus.,0
this study evaluated the statistical association of actinobacillus actinomycetemcomitans bacteroides gingivalis and bacteroides intermedius with progressive periodontitis,0
a series of experiments was designed to characterize the cytochrome p-450-dependent activation of 7 genotoxic carcinogens in the salmonella preincubation assay by hepatic postmitochondrial fractions (s9) from the oyster toadfish and the americal eel and by renal s9 from the toadfish.,0
"the predicted optimum values for the mixing ratio were 49.5% for rhodiola crenulata, 26.1% for astragalus membranaceus, and 24.4% for panax quinquefolius, and the predicted response values were 31.5% yield, 13.4% no production, and 6.1% il-6 production; actual values were 35.3% yield, 14.7% no, and 6.6% il-6.",0
four sera of patients with ss and eight of patients with ra produced diffuse cytoplasmic fluorescence of intro as well as of interlobular pdc of human and rhesus monkey origin,1
sika deer lesions had more giant cells and fewer neutrophils than did lesions from cattle or other cervid species,0
among grampositive bacteria a paradoxical zone was obtained for approximately 43 of the strains studied here all 10 strains of staphylococcus aureus all 10 strains of streptococcus faecalis 7 of 10 strains of group b betahemolytic streptococci 1 of 10 group a strains 3 of 10 strains of alphahemolytic streptococci 3 of 10 strains of clostridium perfringens but for none of 10 strains each of streptococcus pneumoniae and listeria monocytogenes,0
"prevalence, level and distribution of salmonella in shipments of imported capsicum and sesame seed spice offered for entry to the united states: observations and modeling results.",0
amyloidosis in rabbits used to feed tsetse flies glossina spp,1
the possibility of transferring rfactors from escherichia coli to salmonella typhimurium points to one of the routes for the occurrence of drug resistance in salmonella bacteria,1
in indirect epiimmunofluorescence all rabbit antiserums against the strains of mycoplasma hyorhinis tested by us always gave positive cross reactions with all the tested strains of mycoplasma hyorhinis,1
