passage,species1_form,species2_form,interaction_form,triplet_key,doc_id,field
These two chlorella species are hosts to viruses that have been isolated from fresh water collected around the world.,chlorella,viruses,hosts to,ott:5233809;ncbitaxon_viruses:10239;RO_0002453,20565652,abstract
"Tritoniopsins A-D, cladiellane-based diterpenes from the South China Sea nudibranch Tritoniopsis elegans and its prey Cladiella krempfi.",Tritoniopsis elegans,Cladiella krempfi,prey,ott:4958389;ott:3679149;RO_0002458,21861494,title
"Since their emergence, this ancient lobster group has continued to diversify, particularly in the West Pacific, and has colonized the abyssal zone, with the deepest genus, Willemoesia, representing the more 'derived' members among extant polychelids.",lobster,Willemoesia,colonized,ott:4666271;ott:2982183;RO_e000053,38142793,abstract
"Identification of opossums Didelphis aurita (Wied-Neuweid, 1826) as a definitive host of Sarcocystis falcatula-like sporocysts.",Didelphis aurita,Sarcocystis falcatula,host of,ott:810918;ott:1006154;RO_0002453,29192336,title
"The pollinators of the three taxa are hawkmoths, crepuscular bees of the genus Proxylocopa and various daily bees.",hawkmoths,Proxylocopa,pollinators,ott:598255;ott:695278;RO_0002455,28312082,abstract
Rosmarinus officinalis and curcumin from Curcuma longa interact with D1 and D2 receptors as well as elevate the brain dopamine level.,Rosmarinus officinalis,Curcuma longa,interact with,ott:778824;ott:168258;RO_0002434,25719303,abstract
"However, only T. nobilis was acquired by native fish, the Aequidens tetramerus, which is a new host for this exotic Trichodinidae.",Aequidens tetramerus,Trichodinidae,host for,ott:797217;ott:1013757;RO_0002453,24728360,abstract
The SAGA and NuA4 component Tra1 regulates Candida albicans drug resistance and pathogenesis.,SAGA,Candida albicans,regulates,ott:697791;ott:154960;RO_0002211,34849885,title
"The rove beetle (Paederus fuscipes), which is an important predator of the brown plant hopper (Nilaparvata lugens) in rice ecosystems, was tested to investigate acute and chronic effects of emamectin benzoate.",Paederus fuscipes,Nilaparvata lugens,predator of,ott:935357;ott:876508;RO_0002439,30173022,abstract
"The high prevalence of pediculosis capitis, commonly known as head lice (Pediculus humanus capitis) infestation, has led to the preparation of a community-based pediculicidal ointment, which is made of common household items and the extract of Tinospora crispa stem.",Pediculus humanus capitis,Tinospora crispa,infestation,ott:1034010;ott:574442;RO_e000005,28877572,abstract
"The epicenter of group O was later found to be in Central Africa, overlapping with the geographical location of the central chimpanzees (Pan troglodytes troglodytes) and western gorillas (Gorilla gorilla), the likely original hosts of group O. Although the prevalence of group O has remained low at 1-2% in Cameroon, some European countries (France, Spain, Belgium) with strong colonial ties to Central Africa have reported the highest prevalence out of Africa.",Pan troglodytes troglodytes,Gorilla gorilla,hosts of,ott:767875;ott:417965;RO_0002453,26450803,abstract
