passage,label
interaction between salt and sugar receptions in plasmodium of physarum polycephalum was studied by using doublechamber method,1
14 pesticides were tested as pure compounds for the induction of point mutations in four strains of salmonella typhimuriumta1535 ta1536 ta1537 and ta1538in the presence and in the absence of ratliver microsomal fractions and for the induction of resistance to low concentrations of streptomycin in the filamentous bacterium streptomyces coelicolor,1
pteridine analyses in double mutants combining pr with one of three other eye color mutants sepia hennarecessive3 and prune2 suggest that the metabolic block in pr occurs prior to sepiapterin biosynthesis,1
single cells were also recorded from primary visual cortex of cat to permit a comparison of visual cortical organization in cats and rabbits,1
cysticercus tenuicollis was found to be most prevalent in goats 342 per cent followed by sheep 214 per cent and cattle 01 per cent,1
seals and mice share similar geographic ranges.,0
the viability of cryopreserved aegyptianella pullorum carpano 1928 in the vector argas persicargas walkerae kaiser and hoogstraal 1969,1
physical properties of suspensions of saccharomyces cerevisiae candida utilis and escherichia coli density viscosity and surface tension were measured in synthetic suspensions formed of centrifuged biomass and supernatants from various stages of batch cultivation in the range from 0 to 10 wv for yeasts and from 0 to 025 wv for bacteria,1
isolation and characterization of antithrombin iii from human porcine and rabbit plasma and rat serum,0
rabbits and spiders are found in similar habitats.,0
an evaluation of the effect of various concentrations of the clemson university pasteurella multocida drinking water vaccine on the immune response against fowl cholera disease in turkey,0
the nematodes proved to be a new species heterodera mali sp n the apple cystogenous nematode resembles the potato cystogenous nematode h rostochiensis woll,1
the number of trypomastigotes of trypanosoma cruzi required to infect rhodnius prolixus,1
trout has a complex life cycle with multiple developmental stages.,0
sucrases were purified from human small intestine and from areas of intestinal metaplasia of the stomach mucosa surrounding stomach cancers,1
the production of sterigmatocystin by aspergillus rugulosus was confirmed and the toxicity of aspergillus stellatus and aspergillus multicolor is described,1
action of dehydration on the survival morphology and ultrastructure of the conidia of airborne and culture collection strains of aspergillus niger and penicillium chrysogenum,0
mitochondrial dna from an old world mouse mus musculus and from an old world rat rattus norvegicus contain 19 and 22 distinct sites respectively for the 8 restriction endonucleases bamhi ecori haeii hhai hincii hindiii hpai and psti,0
a comparison of the temperature profiles of the myofibrillar atpase in porcellio spinicornis and metoponorthus pruinosus showed that porcellio enzyme had a maximum activity between ph 6872 at 9 degrees c and that from metoponorthus between ph 7074 at 45 degrees c the energy of activation for porcellio enzyme was estimated to be 2964 kcalmol and that for metoponorthus enzyme 991 x 101 kcalmol,0
the first had a crystalline internum and was found only in the order anseriformes which included the blacknecked screamer ducks geese and swans,1
demonstration of a common antigen between schistosoma mansoni and fasciola hepatica,1
foxes occurs sympatrically with bass in many regions.,0
one deer had been exposed to a wildebeeste connochaetes gnou and the other two to domestic sheep,1
antigens were prepared from young mycelial growth of 20 species of dermatophytes and tested by double diffusion against homologous and heterologous antisera raised in rabbits,1
electivedifferentiating solid nutrient media for simultaneous isolation of vibrioes salmonella and shigella were developed,1
pathogenesis of respiratory syncytial virus infection in ferret and fetal human tracheas in organ culture,1
a mutation of asp533 to gly in this same region has been shown to confer cpt resistance for human top 1 chinese hamster top 1 protein with a gly505ser mutation that was expressed in bacteria was resistant to cpt indicating that this single base mutation is involved in cpt resistance,0
in homozygous chickens 15 lymphocytes stained with either antim1 or with polyspecific rabbit antiig serum suggesting that m1 is expressed on the surface of probably all b lymphocytes,0
streptococcus thermophilus and l acidophilus were responsible for acid production with s thermophilus producing acid more rapidly,1
protective and toxic effects of a nucleaseresistant derivative of polyriboinosinicpolyribocytidylic acid on venezuelan equine encephalomyelitis virus in rhesus monkeys,1
rabbit skeletal alphaalphatropomyosin was specificially labeled at cysteine 190 with the fluorescent reagent n1pyrenemaleimide,1
gastric hco3 transport was studied in rana temporaria fundus in which h secretion had been inhibited with the histamine h2receptor antagonists metiamide or cimetidine 103 m and in necturus antrum which secreted hco3 spontaneously,1
examination of amphistomes trematoda  paramphistomidae of some african mammals,1
the mechanisms which enable cholera toxin ct and the escherichia coli heatstable enterotoxins sta and stb to stimulate intestinal secretion of water and electrolytes are only partially understood,0
investigations on anthrachinonglycosides of rhamnus species v emodin8obetagentiobioside a new oglycoside from rhamnus frangula,1
the natural resistance of cattle to infection with mycobacterium paratuberculsis in relation to their immunological reactions is recorded,1
thinlayer chromatography revealed both unmetabolized bap and polar metabolites in the ovary wolffian ducts oocytes and semen of english sole 24 h after ip injection with 200 microci 3hbap,0
specimens of mullet mugil cephalus a marine fish were given single doses of 3methylcholanthrene intraperitoneally and the activity of the microsomal mixedfunction oxygenase system in the liver was measured by the metabolism of benzoapyrene,1
seals occurs sympatrically with fish in many regions.,0
transplantation of human stomach neoplasm into nude mice,1
ecdysone juvenile hormone and oögenesis in rhodnius prolixus,1
effect of oestrogen on the synchronisation of oestrus in cattle,1
The distribution of seals overlaps with that of birds.,0
mobilization of plasmidborne drug resistance determinants for transfer from pseudomonas aeruginosa to escherichia coli,1
the deduced human sequence of 205 amino acids shows 92 identity to inhibitor 2 from rabbit,0
entry of betanoxalyllalphabetadiaminopropionic acid the lathyrus sativus neurotoxin into the central nervous system of the adult rat chick and the rhesus monkey,1
inhibitory concentrations were produced by cephazolin except against bacteroides by clindamycin except against enterobacteria by ampicillin except against bacteroides and enterobacteria and by spectinomycin except against resistant strains of streptococci,0
effect of various nitrogen salts in beet pulp medium on polygalacturonase activity of penicillium sp 74bei 1 mutant,1
bats belongs to the family Cervidae and is widely distributed.,0
dolphins was found alongside insects in several sites.,0
detection of mycoplasma hominis and mycoplasma orale in cell cultures by immunofluorescence,1
the thrombus formation in the femoral arteries of rabbits is inhibited at a minimal effective dose of 1 mgkg po,1
the degree of sensitivity andor resistance of the various groups of pathogens were also included in the study particularly streptococcus and staphylococcus,1
The coloration of bears varies considerably among populations.,0
calves dogs rabbits and cats were inoculated with a virulent strain of pseudorabies virus and the virus was reisolated from each animal and restriction endonuclease analysis was used to determine possible alterations in the dna banding patterns,0
examination of cats for the elimination of toxoplasma gondii oocysts,1
there are ten nucleolus organizer regions nors in domestic sheep ovis aries l,1
the compounds named in the title were prepared by routes which included the reduction of suitable 16 alpha17epoxypregnan20ones with aluminium amalgam to give 16 alphahydroxypregnan20ones and reduction of the 20oxo function either with sodium borohydride to obtain the 316 alpha20 betatriols or with lithiumliquid ammonia to obtain the 316 alpha20 alphatriols,1
serological demonstration of specific antibodies produced in rabbits in response to nematocyst venom from the sea anemone aiptasia pallida,1
sdspolyacrylamide gel electrophoresis of membranes showed remarkable differences between the polypeptides patterns of b adolescentis and b bifidum,1
the snails collected were biomphalaria pfeifferi 709 biomphalaria choanomphala 457 bulinus bulinus tropicus 94,0
staphylococcus aureus 60 p 100 and candida albicans 50 p 100 were mostly found in 73 cases of diaper dermatitis,1
these images were then registered to the reference images that had been moved in three dimensions into a random set of known translations rotations and normalization factors x y z theta rho sigma nf,0
the other glcnacspecific lectins such as phytolacca americana mitogen solanum tuberosum agglutinin and wheat germ agglutinin wga inhibited the histamine release induced by dsa suggesting that these lectins were antagonists but dsa was an agonist,0
in view of the conflicting reports of both constrictor and dilator effects of serotonin on the external carotid vascular bed of dogs the influence of intraarterial infusions of the amine on blood flow through this territory was assessed by electromagnetic flowmeter techniques,1
antigens were detected in the blood of rabbits infected with aspergillus fumigatus by a solidphase tube radioimmunoassay ria,1
mice is characterized by its distinctive morphology.,0
one hundred soil samples from sites in north centre and west of spain were examined for their capacity to induce nodules in alder alnus glutinosa and bog myrtle myrica gale,0
polypeptide chains composing acetylcholine receptors from the electric organs of torpedo californica and electrophorus electricus were purified and labeled with 125i,1
physical measurements were made on the zetaaminolevulinic acid synthetase from rhodopseudomonas spheroides,1
bears was found alongside bass in several sites.,0
immunological studies were carried out in rhesus monkeys and rabbits on three cterminal synthetic peptides of betahcg 115145 111145 and 101145 after conjugating these to tetanus toxoid tt,1
the perfect form of sporotrichum schenckii hetkoen and perkins 1900 dolichoascus schenckii thibaut and ansel 1970 nov,0
Conservation status of rabbits is of concern due to habitat loss.,0
Both whales and owls are common in this ecosystem.,0
role of converting enzyme in the responses of rabbit atria aortas and adrenal zona glomerulosa to desasp1angiotensin i,1
comparison of the specificity of human and bovine tuberculin ppd for testing cattle,1
chromosome replication patterns in the djungarian hamster phodopus sungorus,1
development of leucocytozoon caulleryi in chick embryos infected by biting of culicoides arakawae through shell membrane,1
the sarcosporidia protozoa sporozoa life cycle and fine structure,1
other lambdoid phages with unique n functions and nut sites that are normally active with the nusa of salmonella have boxa sequences with the terminal three ts,0
comparison of sensitivity and specificity of purified lymphocyte and wholeblood in vitro lymphocyte stimulation assays in detection of brucella abortus infection in cattle,1
fish and trout are found in similar habitats.,0
the high incidence 801 of pseudomonas aeruginosa pyocine type 1 in bovine mastitis in israel suggested some degree of selectivity under local conditions,0
the nature of benzoapyrenedna adducts formed in hamster embryo cells depends on the length of time of exposure to benzoapyrene,1
staphylococcal infections pasteurella yersinia tularemia and brucella infections,0
finches belongs to the family Delphinidae and is widely distributed.,0
The coloration of birds varies considerably among populations.,0
chronic selenium poisoning in cattle sheep and horses may result from the consumption of seleniferous plants over an extended period of time,0
the chemotherapy of rodent malaria xxix dna relationships within the subgenus plasmodium vinckeia,1
one trypsin inhibitor momordica charantia trypsin inhibitoriii mctiiii and three elastase inhibitors momordica charantia elastase inhibitorii iii and iv mceiii iii and iv were newly isolated in addition to trypsin inhibitors mctii and ii and elastase inhibitor mceii previously reported hara s et al 1989,0
crude extracts of seeds leaves and barks of four madagascan calophyllum species c inophyllum c recedens c chapelieri and c verticullatum have been tested for molluscicidal activity against biomphalaria glabrata,0
proposed new histogenetic interpretation of human neoplasms of ectomesenchymal aspect with reference to the morphology of the polyoma virus a new dimension in the interpretive work of oncological histology,1
seven microcapsule formulations and two polymer formulations of deet were tested on white rabbits for their repellency against the mosquito aedes aegypti,0
zonal centrifuge purification of human rabies vaccine obtained on bovine foetal kidney cells authors transl,1
2 azt showed potent activities against escherichia coli klebsiella pneumoniae proteus spp enterobacter aerogenes and citrobacter freundii 3 antibacterial activities of azt were superior against enterobacter cloacae serratia marcescens and pseudomonas aeruginosa to those of cephems,0
rats and birds share similar geographic ranges.,0
trout and salmon were collected during the survey.,0
case of human group infection by a natural strain of trichinella in the altai territory,1
the replication of vesicular stomatitis virus and herpes simplex virus was restricted in human cmvinfected mouse cells as long as human cmvspecific antigens were present,1
a host range mutant of human adenovirus type 5 defective for growth in hamster cells,1
birds occurs sympatrically with bees in many regions.,0
aphaadrenergic receptor blockade increases human rem sleep,1
wolves is endemic to specific geographic regions.,0
trout belongs to the family Accipitridae and is widely distributed.,0
the binding was completely inhibited by the addition of human bovine and ovine tsh and partially inhibited by high concentrations of hcg fshlh,1
the elongation effect and the skin test activity were blocked by monospecific rabbit antisera against cholera toxin and against the b fragment of cholera toxin,1
the calcium sensitivity may be attributable to abalone myosin as in the case of scallop myosin,1
prostaglandin production by rhesus monkey corpora lutea in vitro,1
quinapril inhibits the contractile and pressor effects of angiotensin i in rabbit aorta and in rats respectively and lowers blood pressure in both high and normalrenin rodent and diuretictreated dog models of hypertension,0
deer occurs sympatrically with frogs in many regions.,0
Both eagles and otters are common in this ecosystem.,0
the coccidia found in these animals included nine species of the genus eimeria e zuernii e bovis e ellipsoidalis e subspherica e auburnensis,1
bees and bass are found in similar habitats.,0
role of superior colliculus serotonin in the grooming behaviour of cats,1
sensitivity of 690 cultures of the conditionally pathogenic microbes of enterobacteriaceae and pseudomonadaceae to 17 drugs was studied with the agar diffusion method,1
the susceptibility of the biomphalaria tenagophila dorbigny 1835 from itajubá minas gerais to infection by the le strain of schistosoma mansoni sambon 1907 from belo horizonte brazil,1
proteolytic fragments 56 kda of eceif5a the precursor form of eif5a produced in escherichia coli by expression of the human eif5a cdna generated by specific cleavage by endoproteinases argc aspn or gluc did not act as substrates for deoxyhypusine synthesis,0
squirrels occurs sympatrically with rats in many regions.,0
because a similar correlation was also found when control data were added to the fatty liver data we hypothesize that the peroxisomal compartment in human fatty livers is adapted in such a way to permit the same metabolic efficiency as in control livers,0
differential diagnosis in this patient included the following conditions erythema toxicum neonatorum staphylococcal pyoderma and herpes simplex,1
the peptidoglycans of clostridium bifermentans and clostridium histoloyticum contained dap but they differed from those of c botulinum in the molar ratio of alanine to glutamic acid,1
turkey erythrocytes contain nadarginine monoadpribosyltransferases which like cholera toxin and escherichia coli heatlabile enterotoxin catalyze the transfer of adpribose from nad to proteins to arginine and other low molecular weight guanidino compounds and to water,0
solidphase radioimmunoassay of human immunoglobulin m and immunoglobulin g antibodies against herpes simplex virus type 1 capsid envelope and excreted antigens,1
the eau was characterized by lymphocyte infiltration in the pars plana and vitreous base a counterpart of human intermediate uveitis,0
a study on the presence of oral entamoeba gingivalis and trichomonas tenax has been carried out on calculus or dental plaque from 117 diabetic subjects,1
prostaglandin generation by human and guinea pig lung tissue comparison of parenchymal and airway responses,1
streptococcus pyogenes 3 alphahemolytic streptococcus 3 nongroup a betahemolytic streptococcus 3 staphylococcus aureus 2 pseudomonas aeruginosa 2 and escherichia coli 2,1
salsuginus yutanensis is distinguished from previously described species by having a shorter accessory piece and different hamulus proportions especially in the relative lengths of deep and superficial roots,0
such bacteria was identified as pseudomonas sp belonging to the group alcaligenes,0
a comparison of microaerobic systems for the culture of campylobacter jejuni and campylobacter coli,0
The taxonomy of finches has been revised recently.,0
ion concentrations and ph of the hemolymph of the scorpions hadrurus arizonensis and paruroctonus mesaensis,1
a gene cluster in the spinach and pea chloroplast genomes encoding one cf1 and three cf0 subunits of the hatp synthase complex and the ribosomal protein s2,0
the inhibitory effect of bovine rumen fluid on salmonella typhimurium,1
2 human h and endothelin eta and etb receptor open reading frames were cloned by reverse transcriptionpolymerase chain reaction into the mammalian expression vector pcdna1 and stable cell lines were created by transfection of chinese hamster ovary cells,0
a 51 year old woman presented with cerebellar ataxia and paralysis of conjugate lateral movement of the eyes,0
neurologic signs and symptoms such as opsoclonus dancing eyes ataxia blindness and cord paralysis may precede by several months the manifestations of the primary tumor in a distant site such as the abdomen,1
human fibrin foam as a matrix for threedimensional organ cultures was successfully employed for the cultivation of newborn rat and hamster colon tissue,1
a serological examination was carried out for l monocytogenes antibodies on 9318 domestic animal7809 bovine 838 horses and 671 swinein são paulo brazil,1
in vitro testing of the patients polymorphonuclear leukocytes pmns revealed profoundly abnormal chemotactic responses and defective intracellular killing of ps aeruginosa staphylococcus aureus and escherichia coli,1
a model was developed in mice to study the pathogenesis of urinary tract infections caused by staphylococcus saprophyticus strains lm1 and lm2 escherichia coli sp444 and s epidermidis e001,0
trout shows remarkable adaptations to its environment.,0
higher concentrations of microfilariae in capillary blood from the ear lobe than from the finger in wuchereria bancrofti and mansonella ozzardi infections,1
is campylobacter upsaliensis an unrecognised cause of human diarrhoea,0
if this infection of wild armadillos is of recent onset an association with human leprosy in enzootic areas may not be detectable for several years,1
responses of the bovine lymphatic system to infection by theileria parva,0
the compounds were examined for their in vitro inhibitory activity against bacillus subtilis and pseudomonas fluorescens,1
in contrast to previous cases of gramnegative folliculitis due to proteus escherichia coli or klebsiella the anterior nares were not colonized,1
increased splenic peroxidase activity also occurred in mice immunized with rabbit erythrocytes as well as with rabbit serum or bovine serum albumin,1
25 culicid species were recorded specially anopheles gambiae culex tritaeniorhynchus c univittatus c pipiens fatigans aedes caspius ae,1
eagles is endemic to specific geographic regions.,0
seventythree spindles were counted on one side of the snout musculature in the dymecodon pilirostris 12 g in weight 120 spindles in the urotrichus talpoides 19 g in weight and the mogera wogura 100 g in weight,1
systemic lupus erythematosus sle occurs in human beings and in dogs,0
hydrolysis of the cattle bone insoluble collagen was studied as affected by streptomyces griseus protease,1
We documented the presence of insects and bats in the same location.,0
uptake of 55fe and 3hlabeled siderophores and their chronic analogues have been studied in salmonella typhimurium lt2 and escherichia coli k12,1
the susceptibility levels of other indicator species such as agrion hydropsyche brachycentrus ephemera etc,1
foxes belongs to the family Ursidae and is widely distributed.,0
haemophilus infections in chickens,1
adult crania from four human skeletal population samples were radiographed in order to study variation of the air cell system in the mastoid process,1
heamophilus vaginalis corynebacterium vaginal method for isolation and rapid biochemical identification,1
characterization of the esterases of citrobacter and comparison with the esterases of levinea,1
the pgi2 halflife in citrated rabbit plasma 108  11 min n  3 was similar to that in citrated human plasma from control subjects,0
comparative analysis of the morphologic changes caused by retinal detachment in rabbits and human patients showed their similarity,1
heart myosin atpase measured with 10 mm cacl2 and 060 m kcl was found to be higher in rats 423 nmoles of piminmg than in guineapig 268 nmoles of piminmg dogs 139 nmoles of piminmg or rabbits 94 nmoles of piminmg,1
following synchronization of oestrus using progestagen sponges ovulation rates were assessed by laparoscopy,0
measurements of midarm fat area mafa and midarm muscle area mama by ct correlated well with an and us but both an and us overestimated mama by 228  17 and 10  12 respectively mean  sd,0
1 kinetic studies of ethanolamine ammonialyase formation by escherichia coli suggested that coenzyme b12 5deoxyadenosylcobalamin with ethanolamine is a coinducer,1
all isolates 37 shigella 1 campylobacter were sensitive in vitro to the two drugs,0
associations of penicillin streptomycin tetracycline and polymyxin b with rifampicin were tested for synergism against pseudomonas and proteus pathological strains,1
a single band of crossreactive material which comigrates with macrophage gelsolin is found in at least nine different kinds of cells and tissues derived from rabbits and humans and in four lines of cultured cells from humans and rats,0
on the other hand an approach that defines various subtypes of thought disorder and uses a concept of negativevspositive thought disorder does often permit a distinction between mania and schizophrenia,1
a 27base sequence of an exon region of the gene is however identical in rats and cattle in mice rabbits and humans this same region shows only a single base difference from the sequence in rats and cattle,0
The study area supports populations of both deer and sparrows.,0
antisera to hepatitis b surface hbs antigen both of human and rabbit origin have been examined,1
The phylogenetic position of snakes remains debated.,0
however antisera against the b splanchnicus strains did not react with antigens of b fragilis 6869 b thetaiotaomicron as 126 b vulgatus am 45 a b distasonis aii 104 and butyric acidproducing strains bm 158 and ipp 3751 in agglutination and geldiffusion experiments and there were no crossreactions between b splanchnicus antigens and antisera against b fragilis 6869 and the other aforementioned strains,1
lysosomal hydrolase activity in leucocytes from cattle sheep goats horses and pigs,0
during the normal development of cats and hamsters several transient features such as exuberant dendritic spines and intraretinal axonal branches have been observed in the developing rgcs,0
The taxonomy of deer has been revised recently.,0
The taxonomy of spiders has been revised recently.,0
one hundred and thirtyseven coagulasepositive strains of staphylococcus aureus isolated from dogs were tested against three synthetic penicillins cloxacillin dicloxacillin and ampicillin and also phage typed using bacteriophages which are employed in typing staphylococci isolated from man,0
effect of xrays on xenopus tadpoles,1
values of dominant lethals induced by xrays and 15 mev neutrons in prophase1 oocytes and in mature sperm of the twospotted spider mite tetranychus urticae koch acari tetranychidae,1
we used ouchterlony double diffusion of a rabbit antiserum against the purified neurotoxin from the venom of agkistrodon blomhoffii brevicaudaus from the zhejiang province of china on the various venoms of agkistrodon,0
bees belongs to the family Canidae and is widely distributed.,0
the characteristics of the glycolytic pathway and the plasma membrane of lactobacillus and bifidobacterium were studied,1
computerassisted analyses showed that the 422 protein shares 69 and 64 homology with myelin p2 proteins from rabbit and bovine peripheral nerves respectively as well as 23 and 30 homology with fattyacid binding proteins from rat liver and intestine respectively,0
both nethyl and nndiethylglycine were detected in human and rhesus monkey urine although quantification was not achieved,1
plateletactivating factor 100 nm primed macrophages for procoagulant activity generation in response to endotoxin at concentrations as low as 100 ngml and also following exposure to escherichia coli bacteroides fragilis and staphylococcus aureus,0
population dynamics of the nematode parasites of the house rat rattus rattus,1
attempt to detect bovine antibody against fusobacterium necrophorum by the agar gel double diffusion test,1
the endemic asian genus bemalambda is a form characteristic of the lower assemblage and another endemic asian form archaeolambda is diagnostic of the upper,1
insects is endemic to specific geographic regions.,0
the accumulation of volatile metabolites in cultures of 34 strains comprising ten species of the genus ceratocystis ascomycetes has been investigated under defined culture conditions,0
bauhinia purpurea agglutinin bpa binding sites in human gastrointestinal tract,0
ants is characterized by its distinctive morphology.,0
insects occurs sympatrically with bears in many regions.,0
this rat interferon exhibited marked crossspecies antiviral activity when tested in mouse l929b cells guinea pig embryo fibroblasts human fibroblasts and bovine cells but was not active on chick embryo cells,1
use of other drugs commonly associated with cocaine abuse such as alcohol marijuana and tobacco has also been associated with adverse pregnancy outcomes,0
The coloration of squirrels varies considerably among populations.,0
isolation identification and biological properties of the herpesvirus from cattle,1
hamsters yielded 41 strains of ve virus and virus was detected within 2 km of the edge of the marsh in its interior and at its western extreme 18 km from the central study site at la avellana,1
human revaccination against lyssa efficacy of various booster schedules,1
intraneural injection of sera from rabbits with experimental allergic encephalomyelitis induced by sensitization with bovine brain white matter in complete freunds adjuvant produced focal primary demyelinative lesions in rat sciatic nerves,1
when streptomyces alboniger spores were grown in hickeytresner broth containing 5 mum ethidium bromide a high frequency of permanently cured aerial mycelianegative am colonies was recovered,1
lymphocyte activation and induction of interferon gamma in human leucocyte cultures by the mitogen in mycoplasma arthritidis supernatant mas,0
improved procedure for the conjugation of rabbit igg and fab antibodies with betadgalactosidase from escherichia coli using nnophenylenedimaleimide,1
np fibers join the stria terminalis st at the level of the anterior hypothalamus and course medially in the st to the central nucleus of the amygdala,1
klebsiella pneumoniae and staphylococcus aureus infection in mice difference in uremia and ammoniagenesis,0
neisseria gonorrhoeae and trichomonas vaginalis are responsible for a substantial proportion of lgti,1
evidence is presented demonstrating the presence of a high affinity ka108m1 limited capacity 34 pmolesmg protein estradiol binder in the soluble fraction of the bovine rat and human adrenal cortex,1
ixodes afrixodes drakensbergensis n sp is described from females males nymphs and larvae collected on a drag at giants castle nature reserve natal republic of south africa it was also taken from an eland in the same area and from goats and a cow in the adjacent tank area 118,0
several glycosidases from aspergillus niger were also activated by the t reesei heteroglycan,0
transfer of the gene for thymidine kinase to thymidine kinasedeficient human cells by purified herpes simplex viral dna,1
hpv dna was cleaved with restriction enzymes obtained from the following sources escherichia coli ecori hemophilus influenzae strain rd both unfractionated hind and aeparated hindii and hindiii enzymes and hemophilus parainfluenzae hpai,0
analyses of pathogenic and nonpathogenic acanthamoeba and naegleria for lectininduced agglutination,0
detection of chlamydia in patients with trachoma,0
the chronic experiments on freely moving cats have shown that the opiate peptides fk33824 tyrdalaglymephemetool and tetrapeptide tyrdalaglyphenh2 as well as the narcotic analgesics morphine phentanyl and pentazocine in doses close to analgesic ones suppress the recovery cycles of primary responses pr in the second somatosensory and associative zones of the brain cortex recorded at paired stimulation of the fibres of thalamocortical radiation tcr,0
2 human pepsins 1 3 and 5 and swine pepsin were inhibited only slightly,1
a solidphase radioimmunoassay for detection of herpes simplex virusspecific igg and igm antibodies in human serum specimens is presented,1
the cytopathic changes of herpes simplex virus varicellazoster virus the human polyomaviruses and the trachoma agent can be recognised in smears prepared from a wide variety of specimens,1
vibrio alginolyticus was the most frequently isolated species followed by v parahaemolyticus v harveyi v fluvialis v vulnificus v pelagius v campbellii v spendidus and v marinus,0
