passage,label
the complextype sugar chains bearing bisecting beta 14 nacetylglucosamine which bound to phae increased in the early stage of cervical cancer and tri and tetraantennary complex type sugar chains also increased in the advanced stages,0
robenidine treatment of rabbits naturally infected with coccidia,0
the inhibition of nuclear dna replication in the lower eukaryote chlamydomonas reinhardi strain 21gr was examined after growth of cells with a series of antibiotics streptomycin neamine spectinomycin cleocin chloramphenicol and rifampicin each of which has a known effect upon chloroplast rna or protein synthesis in this organism,0
this prolinerich region was shown to possess strong homology to the product of the prgc gene from pcf10 in enterococcus faecalis which encodes a pheromoneresponsive protein of unknown function as well as homology to the human prolinerich salivary protein prp4,0
antibodies against 15s15methyl prostaglandin f2alpha 15mf were produced in rabbits immunized with a 15mf bovine serum albumin conjugate,0
membrane localization of protein s100 in grape snail helix pomatia neurons and glia in vitro,0
color agglutination test wellcolex for rapid group identification of salmonella and shigella species was evaluated,0
expression of somatostatin and gaba immunoreactivity in cultures of rat hippocampus,0
the majority of the adult filariae was obtained from the testes 489 of b malayi and 532 of b pahangi from the heartlungsystem 261 and 456 and additional in b malayi from the tail 193,0
two groups of lambs were fed either a codeficient or a cosufficient whole barleybased diet for 28 wk to induce a severe covitamin b12 deficiency,0
a quantitative comparison of immunoradiographic response showed that bovine kidney alr2 was about sevenfold more reactive with a alphabkalr2 compared to the human muscle enzyme,0
an in vitro organ culture system was established to support growth of corpora allata from the cockroach diploptera punctata,0
as far as banked dog blood develops less microaggregates during storage than human blood the sem pictures reported are a plea for banked blood microfiltration in any transfusion to human beings,0
dexamethasone and antibody therapy produced a marked attenuation of all indices of meningeal inflammation and reduction of brain water accumulation after h influenzaeinduced meningitis in rabbits compared with results of each agent given alone and of untreated animals,0
it is concluded that use of the same preparation of good quality is mandatory for human sperm penetration tests using zonafree hamster eggs to evaluate the results with reproducibility and accuracy,0
we have used tightseal wholecell recording techniques to study the peptides effects on the electrical properties of tumor pituitary cells derived from rat gh3b6 and human adenomas that secrete human prl in a srifsensitive manner,0
we collected tears from normal and vitamin a deficient rabbits and from humans and analyzed them by high pressure liquid chromatography,0
endocrine characterization of a human ovarian carcinoma bg1 established in nude mice,0
human peripheral blood lymphocytes were irradiated for 24 h in vitro with plutonium239 citrate,0
dermatophytes and other keratinophilic fungi recovered from small mammals in india,0
however the responses of patients with hendersonula and scytalidium infections as well as those with subcutaneous mycoses such as eumycetoma were disappointing,0
