Sentence,label,passage,sentence
the results of the tests are readable within 4 h the application of these tests to a collection of 633 strains of enterobacteriaceae and vibrionaceae demonstrates that some of the tests may be valuable additions to the present tests available for the identification of bacteria belonging to these families,0,,
however bioassays with embryonic inland silversides menidia beryllina showed that the biodegraded samples were embryotoxic or teratogenic,0,,
thus we conclude that the combination of meal feeding a cholesterolfat diet dietary regimen and chronic mild endothelial injury in the rabbit results in 1 a dietinduced hypercholesterolemia in which ldl appear to be the predominant lipoprotein and 2 a lesion within the iliacfemoral artery comparable in histologic and chemical composition to a human fatty streak,0,,
these results indicate that amyloid deposits in canine pancreatic endocrine tumors are likely derived from iapp as is amyloid found in human pancreatic endocrine tumors and pancreatic islet amyloid in aged and diabetic persons and cats,0,,
the dense lpa subspecies displayed physicochemical properties chemical composition particle size and electrophoretic mobility that closely resembled those of its counterpart in humans and baboons but that were distinct from those of low density lipoprotein ldl,0,,
salmonella typhimurium chi 4064 an attenuated delta cya delta crp mutant of s typhimurium sr11 was shown to be avirulent in swine,0,,
in the present study crude bacterial culture supernatants from escherichia coli were subjected to ultrafiltration using polysulfone and the ultrafiltrates were tested for their ability to stimulate human mnc,0,,
a virus was isolated from california sea lions zalophus californianus californianus and northern fur seals callorhinus ursinus in 1972,0,,
it is more active than older cephalosporins against pseudomonas aeruginosa and acinetobacter spp but most strains are still considered resistant,0,,
ultrastructural characteristics of glomus cells in the external carotid artery during larval development and metamorphosis in bullfrogs rana catesbeiana,0,,
thermodynamics of bpti binding to human and bovine factor xa have been analysed in parallel with those of related serine proenzymekazal and kunitztype inhibitor systems,0,,
by both methods tf activity was detected on the subendothelium of rabbit aortae and human umbilical arteries and was unaffected by the length of storage or by inclusion of actinomycin d in the storage buffer,0,,
data on the segregation of human markers in somatic hybrids between permanent rodent cell lines and primary human cells were gathered and statistically analyzed using various criteria of association,0,,
experiences and results in the treatment of lip rhagades and infections of the corners of the lips with salvizol ointment,0,,
in point prevalence surveys made in 19821983 337 of the persons examined were infected with plasmodium falciparum p vivax or p malariae,0,,
narcissus mosaic virus found in nerine bowdenii identification aided by anomalies in sds page,0,,
after the cleavage of disulfide bonds of macroglobulin isolated from channel catfish ictalurus punctatus an electrophoretically fastmoving polypeptide which resembled human j chain was released,0,,
